State,ANSI Code,Year,Total,Aged,Blind and Disabled,Under 18,18-64,65 or older,SSI recipients also receiving OASDI
Wyoming,56,2016,6723,305,6418,894,4921,908,2481
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2016,1044,149,895,285,552,207,209
Alabama,01,2017,165007,8363,156644,22797,113716,28494,59564
Alaska,02,2017,12564,1747,10817,1197,8111,3256,4313
Arizona,04,2017,119571,17301,102270,17645,70050,31876,39309
Arkansas,05,2017,107548,5049,102499,25642,67066,14840,36347
California,06,2017,1261217,359988,901229,104499,575635,581083,498298
Colorado,08,2017,73285,10412,62873,8923,45852,18510,23998
Connecticut,09,2017,65812,7205,58607,8501,41207,16104,20649
Delaware,10,2017,16927,1284,15643,3362,10650,2915,4984
District of Columbia,11,2017,26573,2156,24417,3942,17307,5324,6923
Florida,12,2017,578891,143401,435490,99693,270578,208620,187289
Georgia,13,2017,259792,25342,234450,43197,160901,55694,85044
Hawaii,15,2017,23930,5658,18272,1353,13464,9113,8912
Idaho,16,2017,30908,1788,29120,5087,21336,4485,10298
Illinois,17,2017,270883,31196,239687,36862,166870,67151,76690
Indiana,18,2017,128575,5761,122814,22548,90235,15792,39255
Iowa,19,2017,51138,3210,47928,7741,35743,7654,18005
Kansas,20,2017,48233,2976,45257,8841,32095,7297,16149
Kentucky,21,2017,177858,9367,168491,25298,120075,32485,60490
Louisiana,22,2017,177338,11499,165839,32999,111422,32917,57973
Maine,23,2017,37309,1747,35562,3974,27664,5671,14692
Maryland,24,2017,122312,15538,106774,19193,75247,27872,32677
Massachusetts,25,2017,186405,23920,162485,21918,112248,52239,56070
Michigan,26,2017,274877,19433,255444,37105,188301,49471,84847
Minnesota,27,2017,93892,11104,82788,12629,58467,22796,27200
Mississippi,28,2017,119553,8007,111546,19996,76265,23292,43677
Missouri,29,2017,137796,7020,130776,20017,97161,20618,46495
Montana,30,2017,18215,1371,16844,2333,12499,3383,6924
Nebraska,31,2017,28272,2343,25929,3811,19529,4932,10091
Nevada,32,2017,56143,14045,42098,9873,31033,15237,17321
New Hampshire,33,2017,19032,895,18137,2273,14473,2286,6273
New Jersey,34,2017,181512,37057,144455,24325,96403,60784,58669
New Mexico,35,2017,63706,8366,55340,8215,37764,17727,24601
New York,36,2017,637595,118484,519111,84893,321855,230847,201040
North Carolina,37,2017,232386,17752,214634,38313,149639,44434,79772
North Dakota,38,2017,8453,694,7759,1061,5794,1598,3141
Ohio,39,2017,310489,16318,294171,44337,217058,49094,89593
Oklahoma,40,2017,96804,6090,90714,16075,65330,15399,31803
Oregon,41,2017,88659,9637,79022,10667,58472,19520,28995
Pennsylvania,42,2017,361250,24389,336861,63355,228294,69601,103320
Rhode Island,44,2017,33124,3383,29741,3977,21455,7692,11336
South Carolina,45,2017,116683,7933,108750,18554,75712,22417,39809
South Dakota,46,2017,14888,1467,13421,2451,9280,3157,5107
Tennessee,47,2017,179147,11224,167923,22548,123875,32724,61872
Texas,48,2017,657999,105500,552499,134429,341903,181667,224494
Utah,49,2017,31756,2872,28884,5116,21027,5613,9229
Vermont,50,2017,15374,941,14433,1400,11325,2649,6397
Virginia,51,2017,157658,18012,139646,22516,100120,35022,50517
Washington,52,2017,150504,17604,132900,16817,96602,37085,42760
West Virginia,54,2017,73879,2379,71500,7720,53811,12348,24138
Wisconsin,55,2017,118112,6777,111335,21426,78663,18023,38738
Wyoming,56,2017,6815,329,6486,878,4972,965,2518
Outlying area,,,,,,,,,
Northern Mariana Islands,57,2017,1027,142,885,271,558,198,208
Alabama,01,2018,161635,8087,153548,21490,111313,28832,58686
Alaska,02,2018,12537,1748,10789,1172,8019,3346,4280
Arizona,04,2018,118707,17397,101310,16984,69277,32446,39449
Arkansas,05,2018,105213,4859,100354,24597,65735,14881,35347
California,06,2018,1238456,355425,883031,100529,556495,581432,494155
Colorado,08,2018,73012,10708,62304,8665,45206,19141,23993
Connecticut,09,2018,66442,7257,59185,8447,41460,16535,20828
Delaware,10,2018,17047,1290,15757,3322,10746,2979,4888
District of Columbia,11,2018,25755,2106,23649,3755,16530,5470,6833
Florida,12,2018,576375,144331,432044,97871,266487,212017,187724
Georgia,13,2018,259434,25535,233899,42569,159608,57257,85481
Hawaii,15,2018,23155,5465,17690,1259,12825,9071,8751
Idaho,16,2018,30870,1780,29090,5006,21241,4623,10206
Illinois,17,2018,267026,30925,236101,35539,163430,68057,76321
Indiana,18,2018,127408,5843,121565,21876,88991,16541,38917
Iowa,19,2018,51142,3181,47961,8007,35284,7851,17705
Kansas,20,2018,47735,2934,44801,8484,31840,7411,15849
Kentucky,21,2018,174213,9253,164960,24552,116912,32749,59178
Louisiana,22,2018,175204,11217,163987,32268,109451,33485,57561
Maine,23,2018,36860,1741,35119,3878,27168,5814,14398
Maryland,24,2018,121059,15360,105699,18870,74066,28123,32666
Massachusetts,25,2018,184020,24535,159485,21199,109066,53755,55302
Michigan,26,2018,271833,19466,252367,35563,185051,51219,83946
Minnesota,27,2018,93517,11102,82415,12557,57695,23265,26885
Mississippi,28,2018,117083,7771,109312,19132,74582,23369,42861
Missouri,29,2018,136338,6942,129396,19588,95744,21006,45913
Montana,30,2018,17891,1423,16468,2189,12196,3506,6838
Nebraska,31,2018,28281,2340,25941,3775,19438,5068,9944
Nevada,32,2018,56578,14371,42207,9706,31175,15697,17572
New Hampshire,33,2018,18548,857,17691,2153,14106,2289,6004
New Jersey,34,2018,179808,37049,142759,24207,94300,61301,58069
New Mexico,35,2018,62877,8269,54608,7859,37166,17852,24412
New York,36,2018,628644,117199,511445,82221,314797,231626,200162
North Carolina,37,2018,228906,17363,211543,36234,147854,44818,78832
North Dakota,38,2018,8389,659,7730,1119,5706,1564,3067
Ohio,39,2018,308349,16641,291708,43511,213488,51350,88102
Oklahoma,40,2018,96201,6089,90112,15414,64997,15790,31616
Oregon,41,2018,88233,9625,78608,10307,57741,20185,28934
Pennsylvania,42,2018,355814,24559,331255,60928,223303,71583,102253
Rhode Island,44,2018,32936,3371,29565,3831,21244,7861,11220
South Carolina,45,2018,115194,7726,107468,17814,74700,22680,39372
South Dakota,46,2018,14642,1483,13159,2340,9140,3162,4996
Tennessee,47,2018,176395,10976,165419,22022,121408,32965,60696
Texas,48,2018,649912,104373,545539,131121,336034,182757,222760
Utah,49,2018,31529,2856,28673,5003,20828,5698,9135
Vermont,50,2018,15190,922,14268,1380,11150,2660,6247
