State,ANSI Code,Year,Total,Aged,Blind and DIsabled,Under 18,18-64,65 or older
Maine,23,2019,13423,424,12999,1808,10483,1133
Maryland,24,2019,44427,5079,39348,8014,28209,8204
Massachusetts,25,2019,82085,17062,65023,10514,53380,18191
Michigan,26,2019,105870,5141,100729,20914,73593,11363
Minnesota,27,2019,32721,3334,29388,5710,21389,5622
Mississippi,28,2019,52213,2693,49520,12365,33105,6743
Missouri,29,2019,52342,2192,50150,10612,36698,5032
Montana,30,2019,6233,214,6019,1062,4624,547
Nebraska,31,2019,9394,472,8921,1813,6626,955
Nevada,32,2019,14750,2823,11927,3108,8655,2987
New Hampshire,33,2019,6094,226,5868,950,4681,463
New Jersey,34,2019,70278,12273,58005,12319,39417,18542
New Mexico,35,2019,22578,2142,20437,3892,14375,4312
New York,36,2019,314365,52177,262189,42031,180488,91846
North Carolina,37,2019,82609,4989,77620,19182,52136,11291
North Dakota,38,2019,3018,203,2815,492,2114,412
Ohio,39,2019,117971,4276,113695,23735,83596,10640
Oklahoma,40,2019,34969,1708,33261,7439,23841,3689
Oregon,41,2019,27327,2344,24984,4273,19074,3980
Pennsylvania,42,2019,150173,8545,141628,31759,99089,19324
Rhode Island,44,2019,14616,1273,13344,2505,9672,2440
South Carolina,45,2019,44881,2421,42460,9801,29237,5842
South Dakota,46,2019,4914,332,4582,942,3248,725
Tennessee,47,2019,70748,3288,67460,12098,50233,8416
Texas,48,2019,206342,28051,178290,46463,117194,42685
Utah,49,2019,10718,762,9956,2080,7322,1316
Vermont,50,2019,5791,228,5563,965,4219,606
Virginia,51,2019,58036,5854,52182,11766,36221,10048
Washington,52,2019,56908,5572,51337,7937,39043,9928
West Virginia,54,2019,33958,816,33142,4610,26244,3104
Wisconsin,55,2019,40080,2078,38003,8902,26883,4295
Wyoming,56,,2467,83,2384,438,1846,183
Outlying area,,2019,,,,,,
Northern Mariana Islands,57,2019,353,43,309,112,180,60
Unknown,58,2019,79,17,62,7,48,24
Alabama,01,2020,89218,2597,86621,18852,62335,8031
Alaska,02,2020,6309,589,5720,702,4563,1045
Arizona,04,2020,60104,5300,54804,13140,37116,9848
Arkansas,05,2020,55905,1307,54597,18137,33975,3792
California,06,2020,771692,176781,594911,79744,414104,277844
Colorado,08,2020,35982,3416,32566,5656,24663,5664
Connecticut,09,2020,32033,2502,29531,5265,21458,5310
Delaware,10,2020,8334,402,7932,2216,5265,853
District of Columbia,11,2020,14960,658,14302,2908,10448,1605
Florida,12,2020,260540,44408,216132,60974,135425,64140
Georgia,13,2020,125876,6944,118933,27565,83263,15048
Hawaii,15,2020,14024,2531,11493,1038,9187,3799
Idaho,16,2020,14355,520,13835,3233,9970,1152
Illinois,17,2020,148256,12084,136172,28338,95389,24528
Indiana,18,2020,66433,1613,64821,16374,45989,4071
Iowa,19,2020,24738,871,23867,4942,17758,2037
Kansas,20,2020,24346,967,23379,5620,16531,2195
Kentucky,21,2020,98431,2502,95929,18629,70305,9498
Louisiana,22,2020,91359,3286,88073,23056,59005,9298
Maine,23,2020,18409,454,17955,2467,14484,1458
Maryland,24,2020,62296,5872,56425,11122,41343,9831
Massachusetts,25,2020,111245,21876,89369,16158,71803,23284
Michigan,26,2020,149108,6204,142904,27885,106352,14870
Minnesota,27,2020,47835,4285,43551,8202,31570,8064
Mississippi,28,2020,63052,2130,60922,15130,41341,6580
Missouri,29,2020,71173,2216,68957,14675,50645,5853
Montana,30,2020,9272,332,8941,1643,6806,824
Nebraska,31,2020,13288,600,12688,2525,9520,1244
Nevada,32,2020,23878,4008,19869,5305,14294,4278
New Hampshire,33,2020,10030,315,9715,1471,7880,678
New Jersey,34,2020,91627,13881,77746,16123,53603,21901
New Mexico,35,2020,30857,2465,28392,5782,19764,5311
New York,36,2020,391847,56619,335228,56208,226403,109236
North Carolina,37,2020,113640,4874,108767,26425,74770,12445
North Dakota,38,2020,3874,210,3664,614,2787,473
Ohio,39,2020,164603,5006,159597,32213,118164,14226
Oklahoma,40,2020,49310,1675,47635,11281,33821,4208
Oregon,41,2020,41433,3111,38322,6313,29484,5635
Pennsylvania,42,2020,203114,8845,194269,45790,133489,23835
Rhode Island,44,2020,17090,1143,15948,2995,11615,2480
South Carolina,45,2020,59260,2206,57054,12835,40140,6285
South Dakota,46,2020,6897,413,6485,1488,4498,911
Tennessee,47,2020,95434,3195,92239,16074,70026,9334
Texas,48,2020,313528,32504,281024,85055,175400,53073
Utah,49,2020,15565,997,14568,3241,10537,1787
Vermont,50,2020,8033,283,7750,1251,6029,752
Virginia,51,2020,76648,6606,70042,14789,49957,11902
Washington,52,2020,80897,7272,73625,11088,56098,13710
West Virginia,54,2020,42367,680,41687,5700,33087,3581
Wisconsin,55,2020,57533,2169,55364,13250,38894,5389
Wyoming,56,2020,3224,71,3153,575,2446,203
Outlying areas,,,,,,,,
Northern Mariana Islands,57,2020,606,54,552,231,299,76
Alabama,01,2021,90886,2229,88657,14897,66249,9740
Alaska,02,2021,6700,577,6123,738,4696,1266
Arizona,04,2021,69003,6891,62112,11827,43804,13373
Arkansas,05,2021,60259,1227,59032,17251,38362,4647
California,06,2021,803361,186828,616533,75419,408963,318979
Colorado,08,2021,41782,4492,37289,5737,28147,7897
Connecticut,09,2021,38745,3015,35730,5884,25669,7192
Delaware,10,2021,10283,510,9773,2229,6855,1199
District of Columbia,11,2021,16213,920,15294,2641,11033,2540
Florida,12,2021,329111,66268,262843,67463,165701,95946
Georgia,13,2021,150892,8569,142323,30044,100181,20668
Hawaii,15,2021,13824,2362,11462,839,8724,4261
Idaho,16,2021,17309,604,16705,3249,12377,1683
Illinois,17,2021,156530,13173,143358,24965,100873,30692
Indiana,18,2021,76633,2071,74561,15235,55210,6188
