Year,Average Annual Unemployment Rate,Labor Force Percentage Change,Total Employment Percentage Change,GDP Percentage Change,Average Annual Nominal Interest Rate,Average Annual Real Interest Rate,Covered workers,OASI Beneficiaries,OASDI Beneficiaries,Covered workers per OASDI beneficiary,OASDI beneficiaries per 100 covered workers,Total Fertility Rate,"Age-sex-adjusted death rate per 100,000","Age-sex-adjusted death rate per 100,000 (Under 65)","Age-sex-adjusted death rate per 100,000 (65 and over)",LPR Immigration,LPR Emigration,Net LPR Change,Net Temporary or Unlawful Immigration Change,Income rate (OASDI),Cost rate (OASDI),Balance (OASDI),Income rate (HI),Cost rate (HI),Balance (HI),Worker (Retired workers & auxiliaries),Spouse (Retired workers & auxiliaries),Child (Retired workers & auxiliaries),Widow-widower (Survivors),Mother-father (Survivors),Child (Survivors),Parent (Survivors),Total,Non-interest income (K),Interest income (K),Total income (K),Cost (K),Reserves at end of year (K),Life Expectancy at Birth,Life Expectancy at Age 65,Ratio of OASDI Taxable Payroll to GDP,OASI Fund Ratio,DI Fund Ratio,OASDI Fund Ratio,Covid_dummy,LE65_x_Covid
1965.0,4.5,1.8,2.4,6.5,4.2,2.5,80539.0,18509.0,20157.0,4.0,25.0,2.88,1428.8,495.2,7653.9,310.0,77.0,232.0,0.0,,,,,,,,,,,,,,,,,,,,70.3,14.600000000000001,,,,,0,0.0
1966.0,3.8,1.8,3.0,6.6,4.9,1.4,84596.0,19851.0,21737.0,3.9,26.0,2.67,1431.5,497.1,7661.5,343.0,86.0,257.0,0.0,,,,,,,,,,,,,,,,,,,,70.30000000000001,14.600000000000001,,,,,0,0.0
1967.0,3.8,2.1,2.4,2.7,5.0,1.9,86636.0,20419.0,22479.0,3.9,26.0,2.53,1393.5,488.5,7427.4,408.0,102.0,306.0,0.0,,,,,,,,,,,,,,,,,,,,70.6,14.8,,,,,0,0.0
1968.0,3.6,1.8,2.1,4.9,5.5,0.8,89440.0,21161.0,23419.0,3.8,26.0,2.43,1429.1,500.6,7620.1,407.0,102.0,305.0,0.0,,,,,,,,,,,,,,,,,,,,70.4,14.700000000000001,,,,,0,0.0
1969.0,3.5,2.5,2.4,3.1,6.6,0.1,92382.0,21836.0,24243.0,3.8,26.0,2.42,1383.9,491.3,7334.8,366.0,91.0,274.0,0.0,,,,,,,,,,,,,,,,,,,,70.75,14.95,,,,,0,0.0
1970.0,5.0,2.6,0.6,0.2,7.3,1.0,92963.0,22618.0,25186.0,3.7,27.0,2.43,1350.2,485.8,7113.9,372.0,93.0,279.0,0.0,8.71,8.19,0.52,1.41,1.35,0.07,,,,,,,,,284400000.0,14500000.0,298800000.0,267500000.0,307500000.0,71.0,15.100000000000001,0.376,,,,0,0.0
1971.0,6.0,1.9,0.4,3.3,6.0,2.9,93155.0,23415.0,26203.0,3.6,28.0,2.25,1343.7,472.5,7152.4,377.0,94.0,283.0,0.0,9.37,9.29,0.08,1.32,1.46,-0.14,,,,,,,,,301000000.0,15700000.0,316700000.0,298300000.0,313000000.0,71.2,15.100000000000001,0.356,,,,0,0.0
1972.0,5.6,3.1,2.9,5.3,5.9,2.5,96087.0,24308.0,27399.0,3.5,29.0,1.99,1337.4,469.8,7122.1,392.0,98.0,294.0,0.0,9.21,9.18,0.03,1.28,1.42,-0.14,,,,,,,,,324900000.0,16500000.0,341400000.0,323900000.0,320100000.0,71.30000000000001,15.149999999999999,0.368,,,,0,0.0
1973.0,4.9,2.8,3.3,5.6,6.6,-0.2,99771.0,25273.0,28690.0,3.5,29.0,1.86,1320.2,462.5,7038.6,396.0,99.0,297.0,0.0,9.59,9.73,-0.14,2.08,1.41,0.67,,,,,,,,,369300000.0,16800000.0,386100000.0,374600000.0,313000000.0,71.55,15.299999999999999,0.383,,,,0,0.0
1974.0,5.6,2.9,1.9,-0.5,7.5,-3.8,101212.0,26218.0,29909.0,3.4,30.0,1.82,1264.3,443.2,6738.8,389.0,97.0,292.0,0.0,9.58,9.78,-0.19,1.88,1.53,0.34,,,,,,,,,377300000.0,16900000.0,394200000.0,384900000.0,291500000.0,72.15,15.6,0.401,,,,0,0.0
